Entity;Code;Year;Cigarette consumption per smoker per day (IHME, GHDx (2012))
Brasil;BRA;1980;39,599998
Brasil;BRA;1981;38,5
Brasil;BRA;1982;37,799999
Brasil;BRA;1983;37,599998
Brasil;BRA;1984;37,299999
Brasil;BRA;1985;36,900002
Brasil;BRA;1986;36
Brasil;BRA;1987;35,200001
Brasil;BRA;1988;34,599998
Brasil;BRA;1989;34,099998
Brasil;BRA;1990;34
Brasil;BRA;1991;34
Brasil;BRA;1992;34
Brasil;BRA;1993;33,799999
Brasil;BRA;1994;33,400002
Brasil;BRA;1995;32,799999
Brasil;BRA;1996;32,099998
Brasil;BRA;1997;31,6
Brasil;BRA;1998;31,200001
Brasil;BRA;1999;30,9
Brasil;BRA;2000;30,4
Brasil;BRA;2001;30,1
Brasil;BRA;2002;29,799999
Brasil;BRA;2003;29,700001
Brasil;BRA;2004;29,5
Brasil;BRA;2005;29,200001
Brasil;BRA;2006;28,799999
Brasil;BRA;2007;28,1
Brasil;BRA;2008;27
Brasil;BRA;2009;26,200001
Brasil;BRA;2010;25
Brasil;BRA;2011;23,799999
Brasil;BRA;2012;22,799999
